id,type1,type2,,cat_id,seller_id,cat1
311,Product,BANJARA- ALL PRODUCTS,,Home,5118,"Home, Bath rugs, Decor, Furniture, Crockery, Lights, Handloom, Table Lamps, Plants & Planters, Mirrors, Wall Decor, Pooja Essentials, Fountains, Showpieces & Vases, Laundry Bags"
312,Product,ART & ASTHETICS ,,Home,5118,"Decor, Lights, Table Lamps, Clocks, Mirrors, Wall Decor, Showpieces & Vases"
313,Product,LIIVNG & LIFESTYLE,,Home,5118,"Home, Bath rugs, Furniture, Handloom, Plants & Planters"
314,Product,HERITAGE & DECOR,,Home,5118,"Decor, Crockery, Table Lamps, Wall Decor, Pooja Essentials, Fountains, Showpieces & Vases"
315,Product,BRING MY FLOWERS- ALL PRODUCTS ,,Women,4810,"Aromas & Candles, Showpieces & Vases, Organisers, Flowers"
316,Product,BLOOMS & BOTANICALS ,,Women,4810,"Flowers, Showpieces & Vases"
317,Product,GLOW &  AURA ,,Women,4810,Aromas & Candles
318,Product,ORDER & ELEGANCE,,Women,4810,Organisers
319,Product,MERRIGO KIDZ ALL PRODUCTS,,Kids,5442,"Ethnicwear, Lehenga Choli, T shirts & tops, Dresses, Bottomwear, Sports Shoes, Sandals"
320,Product,EVERYDAY CHIC,,Kids,5442,"T shirts & tops, Dresses, Bottomwear"
321,Product,ETHNIC ELEGANCE,,Kids,5442,"Ethnicwear, Lehenga Choli"
322,Product,STEP IN STYLE,,Kids,5442,"Sports Shoes, Sandals"
323,Product,QUINCE- ALL PRODUCTS,,Women,273,"Co-ord Sets, Accessory Gift Set, Caps & Hats, Dresses, Handbags, Bags & Wallets, Jewellery & Hair Accessories, Blankets, Quilts & Dohars"
324,Product,CHIC WESTERN ,,Women,273,"Co-ord Sets, Dresses"
325,Product,BAGS AND BEYOND,,Women,273,"Handbags, Bags & Wallets"
326,Product,ACCESSORIES AND MORE,,Women,274,"Accessory Gift Set, Caps & Hats, Jewellery & Hair Accessories, Blankets, Quilts & Dohars"
327,Product,ACCESSORIES AND MORE,,Women,274,"Accessory Gift Set, Caps & Hats, Jewellery & Hair Accessories, Blankets, Quilts & Dohars"
328,Product,QUINCE- RANDOM PRODUCTS,,Women,273,"Co-ord Sets, Accessory Gift Set, Caps & Hats, Dresses, Handbags, Bags & Wallets, Jewellery & Hair Accessories, Jewellery & Hair Accessories"
330,Product,QUINCE- OFFER 1,,Women,273,"Co-ord Sets, Caps & Hats, Dresses, Jewellery & Hair Accessories"
331,Product,QUINCE- OFFER 2,,Women,273,"Co-ord Sets, 2952, Bags & Wallets, Handbags"
332,Product,QUINCE- OFFER 3,,Women,273,"Co-ord Sets, Bags & Wallets, Dresses, Caps & Hats"
333,Product,QUINCE- OFFER 4,,Women,273,"Co-ord Sets, Accessory Gift Set, Caps & Hats, Handbags, Bags & Wallets"
334,Product,ROOHANI- ALL  PRODUCTS,,Women,5173,"Co-ords, Kurtas & Suits, Kurtis, Tunics & Tops, Sarees, Handbags"
335,Product,ETHNIC ELEGANCE,,Women,5173,"Kurtas & Suits, Sarees"
336,Product,MODERN FUSION,,Women,5173,"Co-ords, Handbags"
337,Product,TIMELESS CLASSICS,,Women,5173,"Kurtis, Tunics & Tops"
338,Product,ROOHANI- RANDOM PRODUCTS,,Women,5173,"Co-ords, Sarees, Handbags"
340,Product,ROOHANI OFFER 1,,Women,5173,"Co-ords, Kurtas & Suits, Kurtis, Tunics & Tops, Sarees, Handbags"
341,Product,ROOHANI- OFFER 2,,Women,5173,"Co-ords, Kurtas & Suits, Kurtis, Tunics & Tops, Sarees, Handbags"
342,Product,ROOHANI - OFFER 3,,Women,5173,"Co-ords, Kurtas & Suits, Kurtis, Tunics & Tops, Sarees, Handbags"
343,Product,,,Women,5173,"Co-ords, Kurtas & Suits, Kurtis, Tunics & Tops, Sarees, Handbags"
344,Product,HRIMAAN-  ALL PRODUCTS,,Women,3862,Jewellery & Accessories
345,Product,EVERYDAY SPARKLE,,Women,3862,Jewellery & Accessories
346,Product,WRIST WONDERS,,Women,3862,Jewellery & Accessories
347,Product,KEEP IT TOGTHER,,Women,3862,Jewellery & Accessories
348,Product,HRIMAAN- RANDOM PRODUCTS,,Women,3862,Jewellery & Accessories
350,Product,HRIMAAN- OFFER 1,,Women,3862,Jewellery & Accessories
351,Product,HRIMAAN- OFFER 2,,Women,3862,Jewellery & Accessories
352,Product,HRIMAAN- OFFER 3,,Women,3862,Jewellery & Accessories
353,Product,HRIMAAN- OFFER 4,,Women,3862,Jewellery & Accessories
365,Product, Fountains,,Home,5118,Fountains
367,Product,Decor items,,Home,5118,Homedecor
368,Product,Showpiece,,Home,5118,Showpieces & Vases
369,Product,Trays ,,Home,5118,Homedecor
370,Product,Furniture,,Home,5118,Furniture
371,Product,Wall Paintings,,Home,5118,Wall Decor
372,Product,Clocks,,Home,5118,Clocks
373,Product,Ottoman,,Home,5118,Fountains
374,Product,Vases and Planters ,,Home,5118,Showpieces & Vases
375,Product,Lamps,,Home,5118,Table Lamps
376,Product,Chandelier,,Home,5118,Homedecor
377,Product,Mirrors ,,Home,5118,Mirrors
378,Product,Textiles- Mats,,Home,5118,Table Covers & Furnishings
